Symbol,Company Name,Company Code,Sector,DividendYield,PayoutRatio
JUST,JUST GROUP PLC,JUJUST,Financials,1.80%,14.47%
WPS,W.A.G PAYMENT SOLUTIONS PLC,WAGPAY,Industrials,,
ITV,ITV PLC,ITITV,Consumer Discretionary,7.03%,75.31%
FSG,FORESIGHT GROUP HOLDINGS LIMITED,FRSGHL,Financials,,
DARK,DARKTRACE PLC,DRKTCE,Technology,,
SONG,HIPGNOSIS SONGS FUND LIMITED,HISONG,Financials,,
NAS,NORTH ATLANTIC SMALLER COMPANIES INVESTMENT TRUST PLC,NOKY,Financials,,
CCR,C&C GROUP PLC,CCGRP,Consumer Staples ,,
DLG,DIRECT LINE INSURANCE GROUP PLC,DILIGP,Financials,0.00%,0.00%
GSCT,THE GLOBAL SMALLER COMPANIES TRUST PLC,BMBGSC,Financials,,
CWK,CRANSWICK PLC,CRBE,Consumer Staples ,1.97%,27.45%
BAKK,BAKKAVOR GROUP PLC,BABAKK,Consumer Staples ,7.00%,75.46%
IWG,IWG PLC,IWIWG,Industrials,0.00%,0.00%
TBCG,TBC BANK GROUP PLC,TBTBCG,Financials,5.31%,8.26%
OXIG,OXFORD INSTRUMENTS PLC,OXKU,Industrials,0.93%,18.69%
BCPT,BALANCED COMMERCIAL PROPERTY TRUST LIMITED,BMBCPT,Real Estate,6.19%,0.00%
SRE,SIRIUS REAL ESTATE LD,SISRE,Real Estate,3.86%,100.00%
DGN,ASIA DRAGON TRUST PLC,EDHO,Financials,,
ATT,ALLIANZ TECHNOLOGY TRUST PLC,ATTALL,Financials,,
GFTU,GRAFTON GROUP PLC,GRAZ,Industrials,3.43%,48.50%
BSIF,BLUEFIELD SOLAR INCOME FUND LIMITED,BLBSIF,Financials,,
BAG,BARR (A.G.) PLC,BAUKK,Consumer Staples ,2.51%,43.13%
SHED,URBAN LOGISTICS REIT PLC,SHEDLO,Real Estate,6.51%,0.00%
TRY,TR PROPERTY INVESTMENT TRUST PLC,TRAQ,Financials,,
PIN,PANTHEON INTERNATIONAL PLC,PAMW,Financials,,
MCG,MOBICO GROUP PLC,NAIF,Consumer Discretionary,,
TFIF,TWENTYFOUR INCOME FUND LIMITED,TWTFIF,Financials,,
PAGE,PAGEGROUP PLC,PAPAGE,Industrials,3.54%,65.12%
BLND,BRITISH LAND COMPANY PLC,BRNF,Real Estate,6.30%,0.00%
GRI,GRAINGER PLC,GRBI,Real Estate,2.59%,100.00%
SDP,SCHRODER ASIAPACIFIC FUND PLC,SCSDP,Financials,,
HFG,HILTON FOOD GROUP PLC,HIHFG,Consumer Staples ,3.74%,100.00%
AO.,AO WORLD PLC,AOAO,Consumer Discretionary,,
AGT,AVI GLOBAL TRUST PLC,AVAGTP,Financials,,
SSON,SMITHSON INVESTMENT TRUST PLC,SMSSON,Financials,,
ESP,EMPIRIC STUDENT PROPERTY PLC,ESESP,Real Estate,3.66%,80.46%
BCG,BALTIC CLASSIFIEDS GROUP PLC,BALCGP,Technology,,
SPT,SPIRENT COMMUNICATIONS PLC,SPSPT,Telecommunications,3.51%,100.00%
IPO,IP GROUP PLC,IPIPO,Financials,2.63%,0.00%
NESF,NEXTENERGY SOLAR FUND LIMITED,NENESF,Financials,,
BBH,BELLEVUE HEALTHCARE TRUST PLC,BBHCT,Financials,,
DLN,DERWENT LONDON PLC,DEDLN,Real Estate,1.88%,0.00%
SSPG,SSP GROUP PLC,SSSSPG,Consumer Discretionary,0.00%,0.00%
ESNT,ESSENTRA PLC,ESESNT,Industrials,1.25%,0.00%
PNL,PERSONAL ASSETS TRUST PLC,PEKT,Financials,,
BBGI,BBGI GLOBAL INFRASTRUCTURE S.A.,BLBBGI,Financials,,
INPP,INTERNATIONAL PUBLIC PARTNERSHIPS LD,ININPP,Financials,,
PRTC,PURETECH HEALTH PLC,PTPRTC,Health Care ,,
BHMG,BH MACRO LIMITED,BHBHMG,Financials,,
AGR,ASSURA PLC,ASSAGR,Real Estate,7.91%,0.00%
TEM,TEMPLETON EMERGING MARKETS INVESTMENT TRUST PLC,TEKT,Financials,,
FEV,FIDELITY EUROPEAN TRUST PLC,FIBS,Financials,,
ORIT,OCTOPUS RENEWABLES INFRASTRUCTURE TRUST PLC,OCORIT,Financials,,
HRI,HERALD INVESTMENT TRUST PLC,HERL,Financials,,
EOT,EUROPEAN OPPORTUNITIES TRUST PLC,JUJEO,Financials,,
PHP,PRIMARY HEALTH PROPERTIES PLC,PRPHP,Real Estate,1.46%,65.62%
HVPE,HARBOURVEST GLOBAL PRIVATE EQUITY LIMITED,HAHPVE,Financials,,
SAIN,SCOTTISH AMERICAN INVESTMENT CO. PLC,SCKQ,Financials,,
SAFE,SAFESTORE HOLDINGS PLC,SASAFE,Real Estate,3.66%,30.19%
BAB,BABCOCK INTERNATIONAL GROUP PLC,BAAJS,Industrials,0.33%,0.00%
APEO,ABRDN PRIVATE EQUITY OPPORTUNITIES TRUST PLC,STSEP,Financials,,
JGGI,JPMORGAN GLOBAL GROWTH & INCOME PLC,JPJPGI,Financials,,
FSV,FIDELITY SPECIAL VALUES PLC,FIDBV,Financials,,
TYMN,TYMAN PLC,TYTYN,Industrials,4.83%,69.95%
RAT,RATHBONES GROUP PLC,RARY,Financials,7.93%,100.00%
PHLL,PETERSHILL PARTNERS PLC,PETHIL,Financials,,
JEDT,JPMORGAN EUROPEAN DISCOVERY TRUST PLC,JPJESC,Financials,,
FSFL,FORESIGHT SOLAR FUND LIMITED,FOFSFL,Financials,,
CGT,CAPITAL GEARING TRUST PLC,CAPBE,Financials,,
FCSS,FIDELITY CHINA SPECIAL SITUATIONS PLC,FIFCSS,Financials,,
JAM,JPMORGAN AMERICAN INVESTMENT TRUST PLC,JPJAM,Financials,,
HAS,HAYS PLC,HAWN,Industrials,3.22%,57.09%
SHC,SHAFTESBURY CAPITAL PLC,CACAPC,Real Estate,,
UKW,GREENCOAT UK WIND PLC,UKWUKW,Financials,,
TRN,TRAINLINE PLC,TRATRN,Consumer Discretionary,,
FGP,FIRSTGROUP PLC,FIFGP,Industrials,2.74%,0.00%
NETW,NETWORK INTERNATIONAL HOLDINGS PLC,NENETW,Industrials,,
