Symbol,Company Name,Company Code,Sector
JUST,JUST GROUP PLC,JUJUST,Financials
WPS,W.A.G PAYMENT SOLUTIONS PLC,WAGPAY,Industrials
ITV,ITV PLC,ITITV,Consumer Discretionary
FSG,FORESIGHT GROUP HOLDINGS LIMITED,FRSGHL,Financials
DARK,DARKTRACE PLC,DRKTCE,Technology
SONG,HIPGNOSIS SONGS FUND LIMITED,HISONG,Financials
NAS,NORTH ATLANTIC SMALLER COMPANIES INVESTMENT TRUST PLC,NOKY,Financials
CCR,C&C GROUP PLC,CCGRP,Consumer Staples 
DLG,DIRECT LINE INSURANCE GROUP PLC,DILIGP,Financials
GSCT,THE GLOBAL SMALLER COMPANIES TRUST PLC,BMBGSC,Financials
CWK,CRANSWICK PLC,CRBE,Consumer Staples 
BAKK,BAKKAVOR GROUP PLC,BABAKK,Consumer Staples 
IWG,IWG PLC,IWIWG,Industrials
TBCG,TBC BANK GROUP PLC,TBTBCG,Financials
OXIG,OXFORD INSTRUMENTS PLC,OXKU,Industrials
BCPT,BALANCED COMMERCIAL PROPERTY TRUST LIMITED,BMBCPT,Real Estate
SRE,SIRIUS REAL ESTATE LD,SISRE,Real Estate
DGN,ASIA DRAGON TRUST PLC,EDHO,Financials
ATT,ALLIANZ TECHNOLOGY TRUST PLC,ATTALL,Financials
GFTU,GRAFTON GROUP PLC,GRAZ,Industrials
BSIF,BLUEFIELD SOLAR INCOME FUND LIMITED,BLBSIF,Financials
BAG,BARR (A.G.) PLC,BAUKK,Consumer Staples 
SHED,URBAN LOGISTICS REIT PLC,SHEDLO,Real Estate
TRY,TR PROPERTY INVESTMENT TRUST PLC,TRAQ,Financials
PIN,PANTHEON INTERNATIONAL PLC,PAMW,Financials
MCG,MOBICO GROUP PLC,NAIF,Consumer Discretionary
TFIF,TWENTYFOUR INCOME FUND LIMITED,TWTFIF,Financials
PAGE,PAGEGROUP PLC,PAPAGE,Industrials
BLND,BRITISH LAND COMPANY PLC,BRNF,Real Estate
GRI,GRAINGER PLC,GRBI,Real Estate
SDP,SCHRODER ASIAPACIFIC FUND PLC,SCSDP,Financials
HFG,HILTON FOOD GROUP PLC,HIHFG,Consumer Staples 
AO.,AO WORLD PLC,AOAO,Consumer Discretionary
AGT,AVI GLOBAL TRUST PLC,AVAGTP,Financials
SSON,SMITHSON INVESTMENT TRUST PLC,SMSSON,Financials
ESP,EMPIRIC STUDENT PROPERTY PLC,ESESP,Real Estate
BCG,BALTIC CLASSIFIEDS GROUP PLC,BALCGP,Technology
SPT,SPIRENT COMMUNICATIONS PLC,SPSPT,Telecommunications
IPO,IP GROUP PLC,IPIPO,Financials
NESF,NEXTENERGY SOLAR FUND LIMITED,NENESF,Financials
BBH,BELLEVUE HEALTHCARE TRUST PLC,BBHCT,Financials
DLN,DERWENT LONDON PLC,DEDLN,Real Estate
SSPG,SSP GROUP PLC,SSSSPG,Consumer Discretionary
ESNT,ESSENTRA PLC,ESESNT,Industrials
PNL,PERSONAL ASSETS TRUST PLC,PEKT,Financials
BBGI,BBGI GLOBAL INFRASTRUCTURE S.A.,BLBBGI,Financials
INPP,INTERNATIONAL PUBLIC PARTNERSHIPS LD,ININPP,Financials
PRTC,PURETECH HEALTH PLC,PTPRTC,Health Care 
BHMG,BH MACRO LIMITED,BHBHMG,Financials
AGR,ASSURA PLC,ASSAGR,Real Estate
TEM,TEMPLETON EMERGING MARKETS INVESTMENT TRUST PLC,TEKT,Financials
FEV,FIDELITY EUROPEAN TRUST PLC,FIBS,Financials
ORIT,OCTOPUS RENEWABLES INFRASTRUCTURE TRUST PLC,OCORIT,Financials
HRI,HERALD INVESTMENT TRUST PLC,HERL,Financials
EOT,EUROPEAN OPPORTUNITIES TRUST PLC,JUJEO,Financials
PHP,PRIMARY HEALTH PROPERTIES PLC,PRPHP,Real Estate
HVPE,HARBOURVEST GLOBAL PRIVATE EQUITY LIMITED,HAHPVE,Financials
SAIN,SCOTTISH AMERICAN INVESTMENT CO. PLC,SCKQ,Financials
SAFE,SAFESTORE HOLDINGS PLC,SASAFE,Real Estate
BAB,BABCOCK INTERNATIONAL GROUP PLC,BAAJS,Industrials
APEO,ABRDN PRIVATE EQUITY OPPORTUNITIES TRUST PLC,STSEP,Financials
JGGI,JPMORGAN GLOBAL GROWTH & INCOME PLC,JPJPGI,Financials
FSV,FIDELITY SPECIAL VALUES PLC,FIDBV,Financials
TYMN,TYMAN PLC,TYTYN,Industrials
RAT,RATHBONES GROUP PLC,RARY,Financials
PHLL,PETERSHILL PARTNERS PLC,PETHIL,Financials
JEDT,JPMORGAN EUROPEAN DISCOVERY TRUST PLC,JPJESC,Financials
FSFL,FORESIGHT SOLAR FUND LIMITED,FOFSFL,Financials
CGT,CAPITAL GEARING TRUST PLC,CAPBE,Financials
FCSS,FIDELITY CHINA SPECIAL SITUATIONS PLC,FIFCSS,Financials
JAM,JPMORGAN AMERICAN INVESTMENT TRUST PLC,JPJAM,Financials
HAS,HAYS PLC,HAWN,Industrials
SHC,SHAFTESBURY CAPITAL PLC,CACAPC,Real Estate
UKW,GREENCOAT UK WIND PLC,UKWUKW,Financials
TRN,TRAINLINE PLC,TRATRN,Consumer Discretionary
FGP,FIRSTGROUP PLC,FIFGP,Industrials
NETW,NETWORK INTERNATIONAL HOLDINGS PLC,NENETW,Industrials
TRST,TRUSTPILOT GROUP PLC,TSTPLT,Technology
ABDN,ABRDN PLC,STSLA,Financials
TRIG,THE RENEWABLES INFRASTRUCTURE GROUP LIMITED,TRIGLD,Financials
TRIG,THE RENEWABLES INFRASTRUCTURE GROUP LIMITED,TRIGLD,Financials
THRL,TARGET HEALTHCARE REIT PLC,TATHRL,Real Estate
TEP,TELECOM PLUS PLC,TETEP,Telecommunications
SPI,SPIRE HEALTHCARE GROUP PLC,SPSPI,Health Care 
