Symbol,Company Name,Company Code,Subsector Code
JUST,JUST GROUP PLC,JUJUST,30301010
WPS,W.A.G PAYMENT SOLUTIONS PLC,WAGPAY,50205015
ITV,ITV PLC,ITITV,40301035
FSG,FORESIGHT GROUP HOLDINGS LIMITED,FRSGHL,30202010
DARK,DARKTRACE PLC,DRKTCE,10101015
SONG,HIPGNOSIS SONGS FUND LIMITED,HISONG,30204000
NAS,NORTH ATLANTIC SMALLER COMPANIES INVESTMENT TRUST PLC,NOKY,30204000
CCR,C&C GROUP PLC,CCGRP,45101015
DLG,DIRECT LINE INSURANCE GROUP PLC,DILIGP,30302025
GSCT,THE GLOBAL SMALLER COMPANIES TRUST PLC,BMBGSC,30204000
CWK,CRANSWICK PLC,CRBE,45102020
BAKK,BAKKAVOR GROUP PLC,BABAKK,45102020
IWG,IWG PLC,IWIWG,50205020
TBCG,TBC BANK GROUP PLC,TBTBCG,30101010
OXIG,OXFORD INSTRUMENTS PLC,OXKU,50202025
BCPT,BALANCED COMMERCIAL PROPERTY TRUST LIMITED,BMBCPT,35102000
SRE,SIRIUS REAL ESTATE LD,SISRE,35102000
DGN,ASIA DRAGON TRUST PLC,EDHO,30204000
ATT,ALLIANZ TECHNOLOGY TRUST PLC,ATTALL,30204000
GFTU,GRAFTON GROUP PLC,GRAZ,50205010
BSIF,BLUEFIELD SOLAR INCOME FUND LIMITED,BLBSIF,30204000
BAG,BARR (A.G.) PLC,BAUKK,45101020
SHED,URBAN LOGISTICS REIT PLC,SHEDLO,35102020
TRY,TR PROPERTY INVESTMENT TRUST PLC,TRAQ,30204000
PIN,PANTHEON INTERNATIONAL PLC,PAMW,30204000
MCG,MOBICO GROUP PLC,NAIF,40501015
TFIF,TWENTYFOUR INCOME FUND LIMITED,TWTFIF,30204000
PAGE,PAGEGROUP PLC,PAPAGE,50205025
BLND,BRITISH LAND COMPANY PLC,BRNF,35102000
GRI,GRAINGER PLC,GRBI,35101010
SDP,SCHRODER ASIAPACIFIC FUND PLC,SCSDP,30204000
HFG,HILTON FOOD GROUP PLC,HIHFG,45102020
AO.,AO WORLD PLC,AOAO,40401030
AGT,AVI GLOBAL TRUST PLC,AVAGTP,30204000
SSON,SMITHSON INVESTMENT TRUST PLC,SMSSON,30204000
ESP,EMPIRIC STUDENT PROPERTY PLC,ESESP,35102040
BCG,BALTIC CLASSIFIEDS GROUP PLC,BALCGP,10101020
SPT,SPIRENT COMMUNICATIONS PLC,SPSPT,15101010
IPO,IP GROUP PLC,IPIPO,30202010
NESF,NEXTENERGY SOLAR FUND LIMITED,NENESF,30204000
BBH,BELLEVUE HEALTHCARE TRUST PLC,BBHCT,30204000
DLN,DERWENT LONDON PLC,DEDLN,35102030
SSPG,SSP GROUP PLC,SSSSPG,40501040
ESNT,ESSENTRA PLC,ESESNT,50205010
PNL,PERSONAL ASSETS TRUST PLC,PEKT,30204000
BBGI,BBGI GLOBAL INFRASTRUCTURE S.A.,BLBBGI,30204000
INPP,INTERNATIONAL PUBLIC PARTNERSHIPS LD,ININPP,30204000
PRTC,PURETECH HEALTH PLC,PTPRTC,20103010
BHMG,BH MACRO LIMITED,BHBHMG,30204000
AGR,ASSURA PLC,ASSAGR,35102010
TEM,TEMPLETON EMERGING MARKETS INVESTMENT TRUST PLC,TEKT,30204000
