Symbol,Company Name,Company Code
JUST,JUST GROUP PLC,JUJUST
WPS,W.A.G PAYMENT SOLUTIONS PLC,WAGPAY
ITV,ITV PLC,ITITV
FSG,FORESIGHT GROUP HOLDINGS LIMITED,FRSGHL
DARK,DARKTRACE PLC,DRKTCE
SONG,HIPGNOSIS SONGS FUND LIMITED,HISONG
NAS,NORTH ATLANTIC SMALLER COMPANIES INVESTMENT TRUST PLC,NOKY
CCR,C&C GROUP PLC,CCGRP
DLG,DIRECT LINE INSURANCE GROUP PLC,DILIGP
GSCT,THE GLOBAL SMALLER COMPANIES TRUST PLC,BMBGSC
CWK,CRANSWICK PLC,CRBE
BAKK,BAKKAVOR GROUP PLC,BABAKK
IWG,IWG PLC,IWIWG
TBCG,TBC BANK GROUP PLC,TBTBCG
OXIG,OXFORD INSTRUMENTS PLC,OXKU
BCPT,BALANCED COMMERCIAL PROPERTY TRUST LIMITED,BMBCPT
SRE,SIRIUS REAL ESTATE LD,SISRE
DGN,ASIA DRAGON TRUST PLC,EDHO
ATT,ALLIANZ TECHNOLOGY TRUST PLC,ATTALL
GFTU,GRAFTON GROUP PLC,GRAZ
BSIF,BLUEFIELD SOLAR INCOME FUND LIMITED,BLBSIF
BAG,BARR (A.G.) PLC,BAUKK
SHED,URBAN LOGISTICS REIT PLC,SHEDLO
TRY,TR PROPERTY INVESTMENT TRUST PLC,TRAQ
PIN,PANTHEON INTERNATIONAL PLC,PAMW
MCG,MOBICO GROUP PLC,NAIF
TFIF,TWENTYFOUR INCOME FUND LIMITED,TWTFIF
PAGE,PAGEGROUP PLC,PAPAGE
BLND,BRITISH LAND COMPANY PLC,BRNF
GRI,GRAINGER PLC,GRBI
SDP,SCHRODER ASIAPACIFIC FUND PLC,SCSDP
HFG,HILTON FOOD GROUP PLC,HIHFG
AO.,AO WORLD PLC,AOAO
AGT,AVI GLOBAL TRUST PLC,AVAGTP
SSON,SMITHSON INVESTMENT TRUST PLC,SMSSON
ESP,EMPIRIC STUDENT PROPERTY PLC,ESESP
BCG,BALTIC CLASSIFIEDS GROUP PLC,BALCGP
SPT,SPIRENT COMMUNICATIONS PLC,SPSPT
IPO,IP GROUP PLC,IPIPO
NESF,NEXTENERGY SOLAR FUND LIMITED,NENESF
BBH,BELLEVUE HEALTHCARE TRUST PLC,BBHCT
DLN,DERWENT LONDON PLC,DEDLN
SSPG,SSP GROUP PLC,SSSSPG
ESNT,ESSENTRA PLC,ESESNT
PNL,PERSONAL ASSETS TRUST PLC,PEKT
BBGI,BBGI GLOBAL INFRASTRUCTURE S.A.,BLBBGI
INPP,INTERNATIONAL PUBLIC PARTNERSHIPS LD,ININPP
PRTC,PURETECH HEALTH PLC,PTPRTC
BHMG,BH MACRO LIMITED,BHBHMG
AGR,ASSURA PLC,ASSAGR
TEM,TEMPLETON EMERGING MARKETS INVESTMENT TRUST PLC,TEKT
FEV,FIDELITY EUROPEAN TRUST PLC,FIBS
ORIT,OCTOPUS RENEWABLES INFRASTRUCTURE TRUST PLC,OCORIT
HRI,HERALD INVESTMENT TRUST PLC,HERL
EOT,EUROPEAN OPPORTUNITIES TRUST PLC,JUJEO
PHP,PRIMARY HEALTH PROPERTIES PLC,PRPHP
HVPE,HARBOURVEST GLOBAL PRIVATE EQUITY LIMITED,HAHPVE
SAIN,SCOTTISH AMERICAN INVESTMENT CO. PLC,SCKQ
SAFE,SAFESTORE HOLDINGS PLC,SASAFE
BAB,BABCOCK INTERNATIONAL GROUP PLC,BAAJS
APEO,ABRDN PRIVATE EQUITY OPPORTUNITIES TRUST PLC,STSEP
JGGI,JPMORGAN GLOBAL GROWTH & INCOME PLC,JPJPGI
FSV,FIDELITY SPECIAL VALUES PLC,FIDBV
TYMN,TYMAN PLC,TYTYN
RAT,RATHBONES GROUP PLC,RARY
PHLL,PETERSHILL PARTNERS PLC,PETHIL
JEDT,JPMORGAN EUROPEAN DISCOVERY TRUST PLC,JPJESC
FSFL,FORESIGHT SOLAR FUND LIMITED,FOFSFL
CGT,CAPITAL GEARING TRUST PLC,CAPBE
FCSS,FIDELITY CHINA SPECIAL SITUATIONS PLC,FIFCSS
