Company Code,Rate,Payment Date,Currency
JUJUST,0.015,15-05-2024,GBP
JUJUST,0.006,04-10-2023,GBP
JUJUST,0.012,17-05-2023,GBP
JUJUST,0.005,02-09-2022,GBP
JUJUST,0.010,17-05-2022,GBP
ITITV,0.033,23-05-2024,GBP
ITITV,0.017,28-11-2023,GBP
ITITV,0.033,25-05-2023,GBP
ITITV,0.017,28-11-2022,GBP
ITITV,0.033,26-05-2022,GBP
ITITV,0.026,02-12-2019,GBP
ITITV,0.054,23-05-2019,GBP
ITITV,0.026,03-12-2018,GBP
DILIGP,0.076,09-09-2022,GBP
DILIGP,0.151,17-05-2022,GBP
DILIGP,0.076,03-09-2021,GBP
DILIGP,0.147,20-05-2021,GBP
DILIGP,0.074,04-09-2020,GBP
DILIGP,0.072,06-09-2019,GBP
DILIGP,0.140,16-05-2019,GBP
DILIGP,0.070,07-09-2018,GBP
CRBE,0.227,26-01-2024,GBP
CRBE,0.588,01-09-2023,GBP
CRBE,0.206,27-01-2023,GBP
CRBE,0.556,02-09-2022,GBP
CRBE,0.200,28-01-2022,GBP
CRBE,0.513,03-09-2021,GBP
CRBE,0.187,29-01-2021,GBP
CRBE,0.437,04-09-2020,GBP
CRBE,0.167,24-01-2020,GBP
CRBE,0.400,06-09-2019,GBP
CRBE,0.159,25-01-2019,GBP
CRBE,0.386,07-09-2018,GBP
CRBE,2019,2021 2022,2023
BABAKK,0.044,29-05-2024,GBP
BABAKK,0.029,13-10-2023,GBP
BABAKK,0.042,05-06-2023,GBP
BABAKK,0.028,14-10-2022,GBP
BABAKK,0.040,30-05-2022,GBP
BABAKK,0.026,15-10-2021,GBP
BABAKK,0.040,25-05-2021,GBP
BABAKK,0.020,11-10-2019,GBP
BABAKK,0.040,29-05-2019,GBP
IWIWG,0.010,31-05-2024,GBP
IWIWG,0.022,04-10-2019,GBP
IWIWG,0.044,24-05-2019,GBP
IWIWG,0.020,05-10-2018,GBP
TBTBCG,4.670,19-07-2024,GEL
TBTBCG,0.778,13-10-2023,GBP
TBTBCG,0.928,14-06-2023,GBP
TBTBCG,0.774,14-10-2022,GBP
TBTBCG,0.603,15-07-2022,GBP
TBTBCG,0.349,17-09-2021,GBP
TBTBCG,0.568,12-07-2019,GBP
OXKU,0.049,12-01-2024,GBP
OXKU,0.149,12-10-2023,GBP
OXKU,0.046,13-01-2023,GBP
OXKU,0.137,23-08-2022,GBP
OXKU,0.044,14-01-2022,GBP
OXKU,0.129,15-10-2021,GBP
OXKU,0.041,14-04-2021,GBP
OXKU,0.106,18-10-2019,GBP
OXKU,0.038,08-04-2019,GBP
BMBCPT,0.004,28-03-2024,GBP
BMBCPT,0.004,29-02-2024,GBP
BMBCPT,0.004,31-01-2024,GBP
BMBCPT,0.004,29-12-2023,GBP
BMBCPT,0.004,30-11-2023,GBP
BMBCPT,0.004,31-10-2023,GBP
BMBCPT,0.004,29-09-2023,GBP
BMBCPT,0.004,31-08-2023,GBP
BMBCPT,0.004,31-07-2023,GBP
