Symbol,AnnualDividendsPerShare,DividendYield,PayoutRatio,RetentionRatio,DividendCount,Sector_1,Sector_2,Sector_3,Sector_4,Sector_5,Sector_6,Sector_7,Sector_8,Sector_9,Sector_10,Sector_11,Sector_12
AAME,0.02,1.0,15.46,0.8453999999999999,1.0,0,0,0,0,1,0,0,0,0,0,0,0
AAON,0.32,0.44,35.37,0.6463000000000001,4.0,0,0,0,0,0,0,1,0,0,0,0,0
AAPL,0.96,0.49,31.81,0.6819,4.0,0,0,0,0,0,0,0,0,0,1,0,0
ABCB,0.6,1.16,12.56,0.8744,4.0,0,0,0,0,1,0,0,0,0,0,0,0
ACGLN,1.1375,5.7,18.302007434944237,0.8169799256505577,4.0,0,0,0,0,1,0,0,0,0,0,0,0
ACGLO,1.3625,5.84,18.302007434944237,0.8169799256505577,4.0,0,0,0,0,1,0,0,0,0,0,0,0
ACNB,1.2,2.63,10.27,0.8973,4.0,0,0,0,0,1,0,0,0,0,0,0,0
ACT,0.64,2.19,7.26,0.9274,4.0,0,0,0,0,1,0,0,0,0,0,0,0
ADEA,0.2,1.7,10.43,0.8956999999999999,4.0,0,0,0,0,0,0,0,0,0,1,0,0
ADI,3.44,1.75,30.01,0.6999,4.0,0,0,0,0,0,0,0,0,0,1,0,0
ADTN,0.36,5.09,60.52857142857143,0.3947142857142857,3.0,0,0,0,0,0,0,0,0,0,0,1,0
AEIS,0.4,0.36,30.91,0.6909000000000001,4.0,0,0,0,0,0,0,0,0,0,1,0,0
AEP,3.52,4.4,18.36,0.8164,4.0,0,0,0,0,0,0,0,0,0,0,0,1
AFCG,1.92,14.86,8.02,0.9198,4.0,0,0,0,0,0,0,0,0,1,0,0,0
AGNC,1.44,14.52,26.81,0.7319,12.0,0,0,0,0,0,0,0,0,1,0,0,0
AGNCL,1.9375,8.81,28.302142857142858,0.7169785714285715,4.0,0,0,0,0,0,0,0,0,1,0,0,0
AGNCM,1.7188,7.19,28.302142857142858,0.7169785714285715,4.0,0,0,0,0,0,0,0,0,1,0,0,0
AGNCN,2.73,10.7,28.302142857142858,0.7169785714285715,4.0,0,0,0,0,0,0,0,0,1,0,0,0
AGNCO,1.625,6.88,28.302142857142858,0.7169785714285715,4.0,0,0,0,0,0,0,0,0,1,0,0,0
AGNCP,1.5313,6.9,28.302142857142858,0.7169785714285715,4.0,0,0,0,0,0,0,0,0,1,0,0,0
AIRTP,2.0,11.76,49.75244680851063,0.5024755319148937,4.0,0,1,0,0,0,0,0,0,0,0,0,0
ALGT,2.4,2.85,9.05,0.9095,2.0,0,1,0,0,0,0,0,0,0,0,0,0
ALNT,0.12,0.39,21.02,0.7898000000000001,4.0,0,0,0,0,0,0,1,0,0,0,0,0
ALRS,0.76,3.39,12.23,0.8777,4.0,0,0,0,0,1,0,0,0,0,0,0,0
AMAL,0.4,1.5,9.13,0.9087,4.0,0,0,0,0,1,0,0,0,0,0,0,0
AMAT,1.28,0.79,19.9,0.801,4.0,0,0,0,0,0,0,0,0,0,1,0,0
AMGN,8.52,3.05,19.85,0.8015,4.0,0,0,0,0,0,1,0,0,0,0,0,0
AMKR,0.315,0.95,20.19,0.7981,4.0,0,0,0,0,0,0,0,0,0,1,0,0
AMNB,1.2,2.48,17.07,0.8293,4.0,0,0,0,0,1,0,0,0,0,0,0,0
AMRK,0.8,2.59,5.83,0.9417,5.0,0,0,0,0,0,0,1,0,0,0,0,0
AMSF,1.36,2.92,14.08,0.8592,4.0,0,0,0,0,1,0,0,0,0,0,0,0
AMSWA,0.44,4.05,32.91,0.6709,4.0,0,0,0,0,0,0,0,0,0,1,0,0
ANDE,0.74,1.33,32.64,0.6736,4.0,0,0,0,0,0,0,1,0,0,0,0,0
